Submit Date,ILS Start Time,ILS Duration (All 4 Qs Groups) (MM:SS),Time All 4 ILS Group Qs Completed,Visual-Span Start Time,Visual-Span Duration (MM:SS),N-Back Start Time,N-Back Duration (MM:SS),Task Order,Token,Total Elapsed Time (Start to Submit of ILS Survey),Gender,Age,Active/Reflective,Sensing/Intuitive,Visual/Verbal,Sequential/Global,Browser,VS_DT_meanRT_Demos (ms),VS_DT_meanRT_TestTrials (ms),VS_DT_meanRT_correct_Demos (ms),VS_DT_meanRT_correct_TestTrials (ms),VS_DT_meanRT_incorrect_Demos (ms),VS_DT_meanRT_incorrect_TestTrials (ms),VS_DT_totalPRT_Demos (ms),VS_DT_totalPRT_TestTrials (ms),VS_DT_speedErrors_Demos /19,VS_DT_speedErrors_TestTrials /42,VS_DT_accuracyErrors_Demos /19,VS_DT_accuracyErrors_TestTrials /42,VS_DT_totalErrors_Demo,VS_DT_totalErrors_TestTrials,VS_DT_maxRT_Demos (ms),VS_DT_maxRT_TestTrials (ms),VS_DT_totalCorrect_Demos /19,VS_DT_totalCorrect(%)_Demos,VS_DT_totalCorrect_TestTrials /42,VS_DT_totalCorrect(%)_TestTrials,VS_BL_perfectScore_total_Demos /25,VS_BL_perfectScore_TestTrials /42,VS_BL_maxSpan_Demo,VS_BL_maxSpan_TestTrials,VS_BL_spanSize_2_perfect_TestTrials,VS_BL_spanSize_3_perfect_TestTrials,VS_BL_spanSize_4_perfect_TestTrials,VS_BL_spanSize_5_perfect_TestTrials,VS_BL_total_Demos /25,VS_BL_total_TestTrials /42,VS_BL_partialCredit_Demos /1,VS_BL_partialCredit_TestTrials /1,VS_RT_totalRecall_Demos (ms),VS_RT_totalRecall_TestTrials (ms),N_2B_hitRate_Demos /12,N_3B_hitRate_Demos /12,N_2B_hitRate_Test /24,N_3B_hitRate_Test /24,N_2B_falseAlarm_Demo,N_3B_falseAlarm_Demo,N_2B_falseAlarm_Test,N_3B_falseAlarm_Test,N_2B_accuracy_Demo,N_3B_accuracy_Demo,N_2B_accuracy_Test,N_3B_accuracy_Test,N_2B_omission_Demo,N_3B_omission_Demo,N_2B_omission_Test,N_3B_omission_Test,N_2B_sensitivity_Demo,N_3B_sensitivity_Demo,N_2B_sensitivity_Test,N_3B_sensitivity_Test,N_2B_bias_Demo?,N_3B_bias_Demo?,N_2B_bias_Test?,N_3B_bias_Test?,N_2B_correct_NR_Demo,N_3B_correct_NR_Demo,N_2B_correct_NR_Test,N_3B_correct_NR_Test
2023-09-06 08:58:19,2023-09-06 08:30:28,07:30,2023-09-06 08:37:58,2023-09-06 08:43:18,06:30,2023-09-06 08:49:59,12:02,"V, N",Joo80Pso4D72ian,0:27:51,F,,7,-9,-3,-3,Chrome version 115.0.0.0,2719,2062,3872,2094,-1,1646,46231,86611,2,0,1,3,3,3,4645,3883,14,82.4,39,92.9,4,0,4,0,0,0,0,0,7,5,0.27,0.12,34862,55390,0,0,5,10,1,0,2,2,-100.0,-1,42.9,66.7,6,6,7,2,-9.2,-1,1.8,3.2,0.0,0.0,0.0,-0.0,27,30,37,34
2023-09-07 13:05:21,2023-09-07 12:30:27,13:42,2023-09-07 12:44:09,2023-09-07 12:59:53,06:52,2023-09-07 12:48:52,10:04,"N, V",nTH42z42baq4hcS,0:34:54,F,33,1,-9,7,-7,Chrome version 116.0.0.0,2350,2706,2104,2721,-1,2094,44646,113655,0,0,0,1,0,1,3784,5134,19,100.0,41,97.6,11,10,4,3,4,6,0,0,15,24,0.6,0.61,35108,67067,6,4,11,7,0,0,0,1,100.0,100.0,100.0,75.0,0,2,1,5,9.2,9.2,9.2,3.9,0.0,0.0,0.0,0.0,22,26,33,38
2023-09-07 17:37:40,2023-09-07 17:16:50,04:50,2023-09-07 17:21:40,2023-09-07 17:26:37,05:10,2023-09-07 17:31:57,09:24,"V, N",VZRzFq06vDy1l88,0:20:50,M,40,-3,5,5,-5,Chrome version 116.0.0.0,1978,1790,2098,1743,-1,2395,37582,75170,0,0,0,3,0,3,3575,3236,19,100.0,39,92.9,13,20,4,4,6,6,8,0,16,33,0.68,0.82,27778,39483,0,5,10,9,1,9,5,7,-100.0,-28.6,33.3,12.5,6,1,2,3,-9.2,-1.2,1.4,0.5,0.0,0.0,0.0,0.0,27,16,29,30
2023-09-08 13:31:59,2023-09-08 13:07:17,05:12,2023-09-08 13:12:29,2023-09-08 13:30:15,05:22,2023-09-08 13:16:43,11:38,"N, V",k7yUo6XfNDS6jSS,0:24:42,F,19,-9,-7,7,3,Chrome version 116.0.0.0,2101,1342,2761,1342,-1,-1,39928,56354,0,0,0,0,0,0,6351,2748,19,100.0,42,100.0,17,37,4,5,6,9,12,10,22,40,0.9,0.97,42496,50518,0,0,11,10,0,5,0,3,-1,-100.0,100.0,53.8,6,6,1,2,-1,-9.2,9.2,2.4,-1,0.0,0.0,-0.0,28,25,33,33
2023-09-11 09:52:54,2023-09-11 09:22:12,11:12,2023-09-11 09:33:24, , ,2023-09-11 09:45:12,11:13,1 task missing,eMLJa5AAE70JBwW,0:30:42,F,20,5,1,-1,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,6,9,10,2,2,5,3,50.0,50.0,28.6,53.8,0,0,3,2,2.2,2.2,1.2,2.4,0.0,-0.0,-0.0,-0.0,20,22,30,33
2023-09-11 10:26:58,2023-09-11 10:05:35,04:09,2023-09-11 10:09:44, , ,2023-09-11 10:20:58,09:42,1 task missing,L9CSA732TaKQuoj,0:21:23,F,36,-3,-9,3,-9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,6,10,12,0,4,1,2,100.0,20.0,81.8,71.4,1,0,2,0,9.2,0.8,4.6,3.6,0.0,0.0,0.0,0.0,23,20,33,32
2023-09-11 10:47:34,2023-09-11 10:19:41,06:08,2023-09-11 10:25:49, , ,2023-09-11 10:40:32,10:09,1 task missing,GIDIPMctTXSwatp,0:27:53,F,36,-3,5,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,-1,-1,-1,-1,6,6,12,12,-1,-1,-1,-1,-1,-1,-1,-1,28,30,44,46
2023-09-11 15:24:40,2023-09-11 14:57:17,07:22,2023-09-11 15:04:39, , ,2023-09-11 15:09:08,10:47,1 task missing,umCvKjf6huM7JWk,0:27:23,F,40,3,-3,-3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,6,12,9,3,4,5,3,0.0,20.0,41.2,50.0,3,0,0,3,0.0,0.8,1.8,2.2,0.0,0.0,-0.0,0.0,22,20,27,34
2023-09-13 19:48:04,2023-09-13 19:25:19,06:30,2023-09-13 19:31:49, , ,2023-09-13 19:36:03,10:25,1 task missing,fKrNiueV3MIs6yP,0:22:45,F,22,-1,1,7,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,6,10,8,2,3,0,1,42.9,33.3,100.0,77.8,1,0,2,4,1.8,1.4,9.2,4.2,0.0,0.0,0.0,0.0,21,21,34,37
2023-09-13 20:09:53,2023-09-13 19:43:10,06:31,2023-09-13 19:49:41, , ,2023-09-13 19:53:57,11:17,1 task missing,ITcXiqdFJn9MbBY,0:26:43,,23,-5,7,-7,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,6,11,10,1,0,0,3,0.0,100.0,100.0,53.8,5,0,1,2,0.0,9.2,9.2,2.4,0.0,0.0,0.0,-0.0,26,24,33,33
2023-09-14 20:39:19,2023-09-14 20:11:02,04:54,2023-09-14 20:15:56, , ,2023-09-14 20:22:49,12:46,1 task missing,ad2ghhtWIeIhauG,0:28:17,F,22,-3,1,-5,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,5,12,12,2,0,0,0,33.3,100.0,100.0,100.0,2,1,0,0,1.4,9.2,9.2,9.2,0.0,0.0,0.0,0.0,22,25,32,34
2023-09-14 23:51:04,2023-09-14 23:29:36,03:44,2023-09-14 23:33:20, , ,2023-09-14 23:37:40,11:01,1 task missing,sfZLasDSuZJFzND,0:21:28,F,22,7,9,9,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,6,10,10,0,0,0,0,100.0,100.0,100.0,100.0,0,0,2,2,9.2,9.2,9.2,9.2,0.0,0.0,0.0,0.0,22,24,34,36
2023-09-15 08:00:27,2023-09-15 07:33:03,08:28,2023-09-15 07:41:31, , ,2023-09-15 07:46:40,10:16,1 task missing,7USLj62BzzEn1Vm,0:27:24,F,27,3,-5,-5,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,5,5,8,0,3,1,3,-1,25.0,66.7,45.5,6,1,7,4,-1,1.0,3.2,2.0,-1,0.0,-0.0,0.0,28,22,38,35
2023-09-18 03:47:43,2023-09-15 10:10:24,09:31,2023-09-15 10:19:55, , ,2023-09-18 03:40:42,10:25,1 task missing,C0Eo8aGL1VhwVzS,"2 days, 17:37:19",F,26,-1,3,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1,2,7,0,7,4,5,-1,-75.0,-33.3,16.7,6,5,10,5,-1,-3.9,-1.4,0.7,-1,0.0,0.0,-0.0,28,22,38,34
2023-09-15 11:55:04,2023-09-15 11:29:43,06:13,2023-09-15 11:35:56, , ,2023-09-15 11:40:10,11:35,1 task missing,yCYIyNGIX1buDaI,0:25:21,F,17,-1,1,1,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,4,4,12,1,2,0,1,66.7,33.3,100.0,84.6,1,2,8,0,3.2,1.4,9.2,5.0,-0.0,0.0,0.0,-0.0,22,24,40,33
2023-09-15 16:35:06,2023-09-15 15:50:43,07:08,2023-09-15 15:57:51, , ,2023-09-15 16:15:08,20:11,1 task missing,osFrQxtW9gUnzgP,0:44:23,F,28,-9,-1,-5,-5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,6,12,11,0,2,1,0,100.0,50.0,84.6,100.0,0,0,0,1,9.2,2.2,5.0,9.2,0.0,0.0,-0.0,0.0,22,22,31,35
2023-09-16 09:27:17,2023-09-16 08:57:53,07:40,2023-09-16 09:05:33, , ,2023-09-16 09:19:36,11:16,1 task missing,WTY8NpnXC0CgGdU,0:29:24,F,38,-5,7,3,-3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,5,7,10,2,3,1,2,-33.3,25.0,75.0,66.7,5,1,5,2,-1.4,1.0,3.9,3.2,0.0,-0.0,0.0,-0.0,25,22,36,34
2023-09-16 19:00:30,2023-09-16 18:22:49,08:13,2023-09-16 18:31:02, , ,2023-09-16 18:48:28,12:53,1 task missing,fmQQfbdl08yxbJp,0:37:41,F,47,1,5,-1,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,2,9,3,1,0,0,2,66.7,100.0,100.0,20.0,1,4,3,9,3.2,9.2,9.2,0.8,-0.0,0.0,0.0,0.0,22,28,35,41
2023-09-17 08:00:36,2023-09-17 07:31:39,06:33,2023-09-17 07:38:12, , ,2023-09-17 07:42:43,12:54,1 task missing,LFNCtnDVnqTaZk8,0:28:57,M,34,-5,7,9,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,6,11,12,0,1,0,1,100.0,71.4,100.0,84.6,0,0,1,0,9.2,3.6,9.2,5.0,0.0,-0.0,0.0,-0.0,22,23,33,33
2023-09-17 10:39:59,2023-09-17 10:02:23,12:36,2023-09-17 10:14:59, , ,2023-09-17 10:29:27,14:09,1 task missing,VySThj2HXuDBG7V,0:37:36,M,30,-7,-5,9,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,6,7,8,0,1,3,3,100.0,71.4,40.0,45.5,0,0,5,4,9.2,3.6,1.7,2.0,0.0,0.0,0.0,0.0,22,23,34,35
2023-09-17 16:25:48,2023-09-17 11:14:20,04:50,2023-09-17 11:19:10, , ,2023-09-17 16:08:19,12:20,1 task missing,ulRjXj0I9x3H3fi,5:11:28,F,32,-3,5,-5,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,6,10,11,1,1,1,1,66.7,71.4,81.8,83.3,1,0,2,1,3.2,3.6,4.6,4.8,-0.0,0.0,0.0,0.0,22,23,33,34
2023-09-18 12:01:28,2023-09-18 10:36:40,05:04,2023-09-18 10:41:44, , ,2023-09-18 11:52:40,10:49,1 task missing,bdX4LD10Su2hmXK,1:24:48,M,33,-9,-3,7,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,5,9,11,0,0,2,3,100.0,100.0,63.6,57.1,0,1,3,1,9.2,9.2,3.0,2.6,0.0,0.0,-0.0,0.0,22,25,33,32
2023-09-18 15:29:05,2023-09-18 15:07:42,04:21,2023-09-18 15:12:03, , ,2023-09-18 15:21:56,10:37,1 task missing,DRAfQmPOvK2Z5j8,0:21:23,F,41,1,-3,-5,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,7,8,1,3,3,0,60.0,14.3,40.0,100.0,2,2,5,4,2.8,0.6,1.7,9.2,-0.0,0.0,0.0,0.0,23,23,34,38
2023-09-18 19:00:48,2023-09-18 18:31:22,03:21,2023-09-18 18:34:43, , ,2023-09-18 18:42:43,10:23,1 task missing,RQCboESaacqAKVm,0:29:26,F,17,3,-5,-5,-9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,5,9,11,2,1,2,3,50.0,66.7,63.6,57.1,0,1,3,1,2.2,3.2,3.0,2.6,0.0,0.0,-0.0,0.0,20,24,33,32
2023-09-18 19:13:02,2023-09-18 18:42:44,10:30,2023-09-18 18:53:14, , ,2023-09-18 18:57:52,11:06,1 task missing,MNa9FR7EumfdYzI,0:30:18,F,18,1,3,5,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,6,11,6,0,4,3,7,100.0,20.0,57.1,-7.7,2,0,1,6,9.2,0.8,2.6,-0.3,0.0,0.0,0.0,0.0,24,20,30,33
2023-09-18 20:14:58,2023-09-18 19:43:50,09:33,2023-09-18 19:53:23, , ,2023-09-18 19:57:50,12:04,1 task missing,UmR90WpkAaKg4z5,0:31:08,F,19,-7,5,11,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,6,8,11,1,0,0,4,66.7,100.0,100.0,46.7,1,0,4,1,3.2,9.2,9.2,2.0,-0.0,0.0,0.0,0.0,22,24,36,31
2023-09-18 20:30:54,2023-09-18 20:05:56,05:28,2023-09-18 20:11:24, , ,2023-09-18 20:22:09,10:46,1 task missing,8ULLOf1Duq9hak3,0:24:58,F,35,-1,7,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,5,12,7,1,1,0,1,66.7,66.7,100.0,75.0,1,1,0,5,3.2,3.2,9.2,3.9,-0.0,0.0,0.0,0.0,22,24,32,38
2023-09-18 21:36:08,2023-09-18 21:00:18,11:49,2023-09-18 21:12:07, , ,2023-09-18 21:16:29,12:10,1 task missing,E75AP3Tz8xjT4km,0:35:50,F,27,-5,3,5,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,12,10,0,2,1,3,100.0,33.3,84.6,53.8,2,2,0,2,9.2,1.4,5.0,2.4,0.0,-0.0,-0.0,-0.0,24,24,31,33
2023-09-19 13:42:48,2023-09-19 07:55:14,12:06,2023-09-19 08:07:20, , ,2023-09-19 11:05:46,25:03,1 task missing,tvr595U1LN667DY,5:47:34,F,21,5,-7,9,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,6,12,11,0,1,0,1,100.0,71.4,100.0,83.3,0,0,0,1,9.2,3.6,9.2,4.8,0.0,0.0,0.0,0.0,22,23,32,34
2023-09-19 10:10:21,2023-09-19 09:35:17,09:04,2023-09-19 09:44:21, , ,2023-09-19 09:54:08,11:21,1 task missing,P1xuWmJckReVkou,0:35:04,F,20,-3,-9,3,-5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1,11,9,0,3,0,0,-1,-50.0,100.0,100.0,6,5,1,3,-1,-2.2,9.2,9.2,-1,0.0,0.0,0.0,28,26,33,37
2023-09-19 20:00:45,2023-09-19 19:34:03,04:37,2023-09-19 19:38:40, , ,2023-09-19 19:52:25,11:52,1 task missing,mwAUQFDIrbNclfu,0:26:42,,,1,-3,5,-3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,6,5,10,0,0,3,1,100.0,100.0,25.0,81.8,0,0,7,2,9.2,9.2,1.0,4.6,0.0,0.0,0.0,0.0,22,24,36,35
2023-09-20 11:35:54,2023-09-20 10:59:11,08:52,2023-09-20 11:08:03, , ,2023-09-20 11:23:31,14:00,1 task missing,T8aUbsC32Z8iS3Z,0:36:43,F,35,-1,-3,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,3,12,12,1,1,1,1,0.0,50.0,84.6,84.6,5,3,0,0,0.0,2.2,5.0,5.0,0.0,-0.0,-0.0,-0.0,26,26,31,33
2023-09-21 17:45:22,2023-09-21 17:22:41,04:50,2023-09-21 17:27:31, , ,2023-09-21 17:31:50,10:22,1 task missing,CH8OOfUUEFvMwjg,0:22:41,F,29,-1,7,-5,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,4,12,10,2,2,2,3,20.0,33.3,71.4,53.8,3,2,0,2,0.8,1.4,3.6,2.4,0.0,-0.0,0.0,-0.0,23,24,30,33
2023-09-21 21:01:23,2023-09-21 20:34:13,06:51,2023-09-21 20:41:04, , ,2023-09-21 20:45:42,11:03,1 task missing,YDAfis5u6iIxp9M,0:27:10,F,34,-1,5,-1,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,4,8,10,0,1,2,4,100.0,60.0,60.0,42.9,0,2,4,2,9.2,2.8,2.8,1.8,0.0,0.0,-0.0,0.0,22,25,34,32
2023-09-22 17:18:55,2023-09-22 16:51:38,05:55,2023-09-22 16:57:33, , ,2023-09-22 17:03:23,11:09,1 task missing,a8MLAML1PvKcrBh,0:27:17,F,19,-7,7,5,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,4,12,8,3,5,4,6,25.0,-11.1,50.0,14.3,1,2,0,4,1.0,-0.4,2.2,0.6,0.0,-0.0,0.0,0.0,20,21,28,32
2023-09-22 19:40:13,2023-09-22 19:02:26,11:54,2023-09-22 19:14:20, , ,2023-09-22 19:27:33,12:48,1 task missing,mJpGhklwXsawNtG,0:37:47,F,41,-7,-3,-1,-3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,6,12,12,0,2,0,2,100.0,50.0,100.0,71.4,0,0,0,0,9.2,2.2,9.2,3.6,0.0,0.0,0.0,0.0,22,22,32,32
2023-09-24 01:03:34,2023-09-24 00:40:14,04:16,2023-09-24 00:44:30, , ,ubksUvXiOiUxpoT,0:23:20,F,35,-7,-11,9,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
