browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Chrome,113.0.0.0,Windows,en-US,2023-05-30_15:59:48,2023-05-30_09:59:48,2023-05-19_18:00:09,https://www.testable.org/experiment/11502/795217/start?eid=2&ec=1&token=kx1njZofn8aqrWT,667.188

rowNo,type,stim1,stimFormat,key,label,presTime,responseOptions,responseWindow,keyboard,feedback,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,RTkeys,correct
"28",test,K,word,m,2p8_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",181047,timeout,2996,"","0"
"29",test,D,word,m,2p9_2C,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",184049,m;timeout,2996,833;2996,"0"
"30",test,T,word,m,2p10_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",187052,timeout,2997,"","0"
"31",test,A,word,m,2p11_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",190054,timeout,2996,"","0"
"32",test,I,word,m,2p12_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",193056,timeout,2998,"","0"
"33",test,E,word,m,2p13_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",196058,timeout,2996,"","0"
"34",test,I,word,m,2p14_2C,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",199061,timeout,2997,"","0"
"36",test,"",word,m,placeholder3,"",waitResponseWindow;min:100,"1500",m,"","","","",237356,timeout,1489,"","0"
"37",test,D,word,m,3p1_1,"1000",waitResponseWindow;min:100,"3000",m,correct: This is incorrect!;,"1001","60","16.68",240358,timeout,2997,"","0"
"38",test,K,word,m,3p2_1,"1000",waitResponseWindow;min:100,"3000",m,correct: This is incorrect!;,"1001","60","16.68",243360,timeout,2996,"","0"
"39",test,A,word,m,3p3_1,"1000",waitResponseWindow;min:100,"3000",m,correct: This is incorrect!;,"1001","60","16.68",246363,timeout,2997,"","0"
"40",test,R,word,m,3p4_1,"1000",waitResponseWindow;min:100,"3000",m,correct: This is incorrect!;,"1001","60","16.68",249364,timeout,2996,"","0"
"41",test,K,word,m,3p5_1C,"1000",waitResponseWindow;min:100,"3000",m,correct: This is correct!; incorrect: This is incorrect!,"1001","60","16.68",252367,m;timeout,3001,639;3001,"0"
"42",test,T,word,m,3p6_1,"1000",waitResponseWindow;min:100,"3000",m,correct: This is incorrect!;,"1001","60","16.68",255370,timeout,2996,"","0"
"43",test,O,word,m,3p7_1,"1000",waitResponseWindow;min:100,"3000",m,correct: This is incorrect!;,"1001","60","16.68",258372,timeout,2996,"","0"
"44",test,K,word,m,3p8_1,"1000",waitResponseWindow;min:100,"3000",m,correct: This is incorrect!;,"1001","60","16.68",261374,m;timeout,2996,565;2996,"0"
"45",test,T,word,m,3p9_1C,"1000",waitResponseWindow;min:100,"3000",m,correct: This is correct!; incorrect: This is incorrect!,"1001","60","16.68",264376,timeout,2995,"","0"
"46",test,A,word,m,3p10_1,"1000",waitResponseWindow;min:100,"3000",m,correct: This is incorrect!;,"1001","60","16.68",267378,m;timeout,2994,399;2994,"0"
"47",test,C,word,m,3p11_1,"1000",waitResponseWindow;min:100,"3000",m,correct: This is incorrect!;,"1001","60","16.68",270381,timeout,2996,"","0"
"48",test,P,word,m,3p12_1,"1000",waitResponseWindow;min:100,"3000",m,correct: This is incorrect!;,"1001","60","16.68",273383,timeout,2996,"","0"
"49",test,L,word,m,3p13_1,"1000",waitResponseWindow;min:100,"3000",m,correct: This is incorrect!;,"1001","60","16.68",276385,timeout,2997,"","0"
"50",test,I,word,m,3p14_1,"1000",waitResponseWindow;min:100,"3000",m,correct: This is incorrect!;,"1001","60","16.68",279388,timeout,2997,"","0"
"51",test,P,word,m,3p15_1C,"1000",waitResponseWindow;min:100,"3000",m,correct: This is correct!; incorrect: This is incorrect!,"1001","60","16.68",282390,timeout,2997,"","0"
"53",test,"",word,"",placeholder4,"",waitResponseWindow;min:100,"1500",m,"","","","",316215,timeout,1484,"",""
"54",test,K,word,m,3p1_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",319217,timeout,2997,"","0"
"55",test,O,word,m,3p2_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",322219,timeout,2996,"","0"
"56",test,S,word,m,3p3_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",325221,timeout,2996,"","0"
"57",test,K,word,m,3p4_2C,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",328224,m;timeout,2997,396;2997,"0"
"58",test,C,word,m,3p5_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",331226,timeout,2996,"","0"
"59",test,A,word,m,3p6_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",334228,timeout,2992,"","0"
"60",test,P,word,m,3p7_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",337231,timeout,2997,"","0"
"61",test,C,word,m,3p8_2C,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",340233,m;timeout,2996,362;2996,"0"
"62",test,O,word,m,3p9_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",343235,timeout,2992,"","0"
"63",test,K,word,m,3p10_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",346237,timeout,2997,"","0"
"64",test,S,word,m,3p11_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",349239,timeout,2996,"","0"
"65",test,B,word,m,3p12_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",352242,timeout,2996,"","0"
"66",test,I,word,m,3p13_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",355244,timeout,2996,"","0"
"67",test,S,word,m,3p14_2C,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",358246,m;timeout,3000,553;3000,"0"
"68",test,D,word,m,3p15_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",361249,timeout,2992,"","0"
"70",test,"",word,"",placeholder5,"",waitResponseWindow;min:100,"1500",m,"","","","",368370,timeout,1496,"",""
"71",test,E,word,m,2t1_1,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",371372,timeout,2996,"","0"
"72",test,S,word,m,2t2_1,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",374375,timeout,2996,"","0"
"73",test,M,word,m,2t3_1,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",377377,timeout,2997,"","0"
"74",test,A,word,m,2t4_1,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",380380,timeout,2997,"","0"
"75",test,M,word,m,2t5_1C,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.67",383382,m;timeout,2997,599;2997,"0"
"76",test,I,word,m,2t6_1,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",386384,timeout,2997,"","0"
"77",test,M,word,m,2t7_1C,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",389386,m;timeout,2996,600;2996,"0"
"78",test,C,word,m,2t8_1,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",392388,timeout,2996,"","0"
"79",test,P,word,m,2t9_1,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",395391,timeout,2996,"","0"
"80",test,S,word,m,2t10_1,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",398393,timeout,2996,"","0"
"81",test,P,word,m,2t11_1C,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",401396,m;timeout,2998,689;2998,"0"
"82",test,S,word,m,2t12_1C,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",404397,m;timeout,2995,1093;2995,"0"
"83",test,D,word,m,2t13_1,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",407400,m;timeout,2996,372;2996,"0"
"84",test,I,word,m,2t14_1,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",410402,m;timeout,2996,368;2996,"0"
"85",test,O,word,m,2t15_1,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",413404,m;timeout,2996,295;2996,"0"
"86",test,I,word,m,2t16_1C,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",416406,m;m;timeout,2996,292;2428;2996,"0"
"87",test,S,word,m,2t17_1,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",419408,m;m;m;timeout,2997,556;1259;2219;2997,"0"
"88",test,D,word,m,2t18_1,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.67",422411,m;timeout,3000,363;3000,"0"
"89",test,B,word,m,2t19_1,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",425413,m;timeout,2996,334;2996,"0"
"90",test,T,word,m,2t20_1,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",428415,m;timeout,2997,356;2997,"0"
"91",test,C,word,m,2t21_1,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",431418,m;timeout,2996,936;2996,"0"
"92",test,T,word,m,2t22_1C,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",434420,timeout,2996,"","0"
"94",test,"",word,"",placeholder6,"",waitResponseWindow;min:100,"1500",m,"","","","",447329,timeout,1487,"",""
"95",test,K,word,m,2t1_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",450332,timeout,2997,"","0"
"96",test,S,word,m,2t2_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",453334,timeout,2996,"","0"
"97",test,K,word,m,2t3_2C,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",456336,m;timeout,2997,395;2997,"0"
"98",test,S,word,m,2t4_2C,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",459338,timeout,2996,"","0"
"99",test,D,word,m,2t5_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",462340,timeout,2996,"","0"
"100",test,H,word,m,2t6_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",465343,timeout,2997,"","0"
"101",test,D,word,m,2t7_2C,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",468345,m;timeout,2996,434;2996,"0"
"102",test,T,word,m,2t8_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",471347,timeout,2996,"","0"
"103",test,D,word,m,2t9_2C,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",474350,m;timeout,2997,717;2997,"0"
"104",test,B,word,m,2t10_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",477352,timeout,2996,"","0"
"105",test,I,word,m,2t11_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",480354,timeout,2996,"","0"
"106",test,R,word,m,2t12_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",483356,timeout,2996,"","0"
"107",test,C,word,m,2t13_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",486358,timeout,2996,"","0"
"108",test,E,word,m,2t14_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",489361,timeout,2997,"","0"
"109",test,C,word,m,2t15_2C,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",492363,m;timeout,2996,776;2996,"0"
"110",test,A,word,m,2t16_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",495365,timeout,2997,"","0"
"111",test,O,word,m,2t17_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",498367,m;timeout,2996,467;2996,"0"
"112",test,C,word,m,2t18_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",501370,timeout,2997,"","0"
"113",test,M,word,m,2t19_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",504372,timeout,2996,"","0"
"114",test,E,word,m,2t20_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",507374,timeout,2996,"","0"
"115",test,R,word,m,2t21_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",510376,timeout,2997,"","0"
"116",test,E,word,m,2t22_2C,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",513379,m;timeout,2997,457;2997,"0"
"118",test,"",word,"",placeholder7,"",waitResponseWindow;min:100,"1500",m,"","","","",519783,timeout,1493,"",""
"119",test,C,word,m,3t1_1,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",522786,timeout,2997,"","0"
"120",test,P,word,m,3t2_1,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",525788,timeout,2996,"","0"
"121",test,R,word,m,3t3_1,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",528790,timeout,2997,"","0"
"122",test,L,word,m,3t4_1,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",531792,timeout,2996,"","0"
"123",test,H,word,m,3t5_1,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",534795,timeout,2997,"","0"
"124",test,R,word,m,3t6_1C,"1000",waitResponseWindow;min:100,"3000",m,"","1000","60","16.67",537797,timeout,2996,"","0"
"125",test,L,word,m,3t7_1C,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",540799,timeout,2996,"","0"
"126",test,H,word,m,3t8_1C,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",543801,m;timeout,2997,634;2997,"0"
"127",test,M,word,m,3t9_1,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",546804,timeout,2997,"","0"
"128",test,O,word,m,3t10_1,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",549806,timeout,2997,"","0"
"129",test,T,word,m,3t11_1,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",552808,timeout,2996,"","0"
"130",test,M,word,m,3t12_1C,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",555810,m;timeout,2996,633;2996,"0"
"131",test,S,word,m,3t13_1,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",558813,m;timeout,2998,720;2998,"0"
"132",test,I,word,m,3t14_1,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",561815,timeout,2996,"","0"
"133",test,A,word,m,3t15_1,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",564817,timeout,2996,"","0"
"134",test,E,word,m,3t16_1,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",567819,timeout,2996,"","0"
"135",test,C,word,m,3t17_1,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",570822,timeout,2996,"","0"
"136",test,M,word,m,3t18_1,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",573824,timeout,2995,"","0"
"137",test,E,word,m,3t19_1C,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",576825,m;timeout,2995,409;2995,"0"
"138",test,R,word,m,3t20_1,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",579828,timeout,3000,"","0"
"139",test,M,word,m,3t21_1C,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",582830,timeout,3000,"","0"
"140",test,H,word,m,3t22_1,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",585833,m;timeout,3001,782;3001,"0"
"141",test,T,word,m,3t23_1,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",588835,timeout,2992,"","0"
"143",test,"",word,"",placeholder8,"",waitResponseWindow;min:100,"1500",m,"","","","",595139,timeout,1481,"",""
"144",test,O,word,m,3t1_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",598142,timeout,2996,"","0"
"145",test,L,word,m,3t2_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",601144,timeout,2997,"","0"
"146",test,D,word,m,3t3_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",604146,timeout,2996,"","0"
"147",test,K,word,m,3t4_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",607149,timeout,2996,"","0"
"148",test,I,word,m,3t5_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",610151,timeout,2997,"","0"
"149",test,D,word,m,3t6_2C,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",613153,timeout,2996,"","0"
"150",test,A,word,m,3t7_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",616155,timeout,2999,"","0"
"151",test,E,word,m,3t8_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",619158,timeout,2996,"","0"
"152",test,B,word,m,3t9_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",622160,timeout,2996,"","0"
"153",test,S,word,m,3t10_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",625162,timeout,2996,"","0"
"154",test,P,word,m,3t11_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",628164,timeout,2996,"","0"
"155",test,B,word,m,3t12_2C,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",631167,timeout,2991,"","0"
"156",test,C,word,m,3t13_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",634169,timeout,2996,"","0"
"157",test,P,word,m,3t14_2C,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",637171,timeout,2996,"","0"
"158",test,R,word,m,3t15_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",640173,timeout,2997,"","0"
"159",test,C,word,m,3t16_2C,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",643176,timeout,2993,"","0"
"160",test,S,word,m,3t17_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",646178,m;timeout,2996,1378;2996,"0"
"161",test,R,word,m,3t18_2C,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",649180,timeout,2996,"","0"
"162",test,K,word,m,3t19_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",652182,m;timeout,2996,636;2996,"0"
"163",test,C,word,m,3t20_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",655185,m;timeout,2996,650;2996,"0"
"164",test,S,word,m,3t21_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",658187,timeout,2997,"","0"
"165",test,K,word,m,3t22_2C,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",661189,timeout,2996,"","0"
"166",test,T,word,m,3t23_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",664191,timeout,2997,"","0"
