browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Safari,13.1.2,MacOS,en-ca,2023-05-21_16:37:16,2023-05-21_09:37:16,2023-05-19_18:00:09,https://www.testable.org/experiment/11502/795217/start?eid=2&ec=2&token=aaJ554urpO6DXqX,837.1

rowNo,type,stim1,stimFormat,key,label,presTime,responseOptions,responseWindow,keyboard,feedback,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,RTkeys,correct
"24",test,B,word,m,2p4_2,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",245275,timeout,2983,"","0"
"25",test,R,word,m,2p5_2,"1000",waitResponseWindow;min:100,"3000",m,"","1002","60","16.70",248283,m;timeout,3000,1702;3000,"0"
"26",test,B,word,m,2p6_2C,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",251291,timeout,3000,"","0"
"27",test,D,word,m,2p7_2,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",254299,timeout,2999,"","0"
"28",test,K,word,m,2p8_2,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",257307,timeout,2999,"","0"
"29",test,D,word,m,2p9_2C,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",260299,m;timeout,2983,998;2983,"0"
"30",test,T,word,m,2p10_2,"1000",waitResponseWindow;min:100,"3000",m,"","1002","60","16.70",263307,timeout,3000,"","0"
"31",test,A,word,m,2p11_2,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",266315,timeout,3000,"","0"
"32",test,I,word,m,2p12_2,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",269323,timeout,3000,"","0"
"33",test,E,word,m,2p13_2,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",272315,timeout,2983,"","0"
"34",test,I,word,m,2p14_2C,"1000",waitResponseWindow;min:100,"3000",m,"","1002","60","16.70",275323,m;timeout,3000,1337;3000,"0"
"36",test,"",word,m,placeholder3,"",waitResponseWindow;min:100,"1500",m,"","","","",397841,timeout,0,"","0"
"37",test,D,word,m,3p1_1,"1000",waitResponseWindow;min:100,"3000",m,correct: This is incorrect!;,"0","0","0.00",398749,timeout,898,"","0"
"38",test,K,word,m,3p2_1,"1000",waitResponseWindow;min:100,"3000",m,correct: This is incorrect!;,"0","0","0.00",401748,timeout,2991,"","0"
"39",test,A,word,m,3p3_1,"1000",waitResponseWindow;min:100,"3000",m,correct: This is incorrect!;,"1002","60","16.70",404756,timeout,2999,"","0"
"40",test,R,word,m,3p4_1,"1000",waitResponseWindow;min:100,"3000",m,correct: This is incorrect!;,"1003","60","16.72",407764,timeout,2999,"","0"
"41",test,K,word,m,3p5_1C,"1000",waitResponseWindow;min:100,"3000",m,correct: This is correct!; incorrect: This is incorrect!,"1003","60","16.72",410772,timeout,3000,"","0"
"42",test,T,word,m,3p6_1,"1000",waitResponseWindow;min:100,"3000",m,correct: This is incorrect!;,"1002","60","16.70",413764,timeout,2983,"","0"
"43",test,O,word,m,3p7_1,"1000",waitResponseWindow;min:100,"3000",m,correct: This is incorrect!;,"1002","60","16.70",416772,timeout,3000,"","0"
"44",test,K,word,m,3p8_1,"1000",waitResponseWindow;min:100,"3000",m,correct: This is incorrect!;,"1002","60","16.70",419780,m;timeout,3000,1300;3000,"0"
"45",test,T,word,m,3p9_1C,"1000",waitResponseWindow;min:100,"3000",m,correct: This is correct!; incorrect: This is incorrect!,"1003","60","16.72",422788,timeout,2999,"","0"
"46",test,A,word,m,3p10_1,"1000",waitResponseWindow;min:100,"3000",m,correct: This is incorrect!;,"1003","60","16.72",425796,timeout,2999,"","0"
"47",test,C,word,m,3p11_1,"1000",waitResponseWindow;min:100,"3000",m,correct: This is incorrect!;,"1002","60","16.70",428804,timeout,2999,"","0"
"48",test,P,word,m,3p12_1,"1000",waitResponseWindow;min:100,"3000",m,correct: This is incorrect!;,"1003","60","16.72",431796,timeout,2983,"","0"
"49",test,L,word,m,3p13_1,"1000",waitResponseWindow;min:100,"3000",m,correct: This is incorrect!;,"1002","60","16.70",434804,timeout,3000,"","0"
"50",test,I,word,m,3p14_1,"1000",waitResponseWindow;min:100,"3000",m,correct: This is incorrect!;,"1002","60","16.70",437812,timeout,2999,"","0"
"51",test,P,word,m,3p15_1C,"1000",waitResponseWindow;min:100,"3000",m,correct: This is correct!; incorrect: This is incorrect!,"1003","60","16.72",440820,timeout,2999,"","0"
"53",test,"",word,"",placeholder4,"",waitResponseWindow;min:100,"1500",m,"","","","",484154,timeout,1487,"",""
"54",test,K,word,m,3p1_2,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",487162,timeout,2999,"","0"
"55",test,O,word,m,3p2_2,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",490170,timeout,2999,"","0"
"56",test,S,word,m,3p3_2,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",493178,timeout,2999,"","0"
"57",test,K,word,m,3p4_2C,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",496170,m;timeout,2983,1147;2983,"0"
"58",test,C,word,m,3p5_2,"1000",waitResponseWindow;min:100,"3000",m,"","1002","60","16.70",499178,timeout,2999,"","0"
"59",test,A,word,m,3p6_2,"1000",waitResponseWindow;min:100,"3000",m,"","1002","60","16.70",502186,timeout,3000,"","0"
"60",test,P,word,m,3p7_2,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",505194,timeout,3000,"","0"
"61",test,C,word,m,3p8_2C,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",508202,timeout,3000,"","0"
"62",test,O,word,m,3p9_2,"1000",waitResponseWindow;min:100,"3000",m,"","1002","60","16.70",511194,timeout,2984,"","0"
"63",test,K,word,m,3p10_2,"1000",waitResponseWindow;min:100,"3000",m,"","1002","60","16.70",514202,m;timeout,3000,728;3000,"0"
"64",test,S,word,m,3p11_2,"1000",waitResponseWindow;min:100,"3000",m,"","1002","60","16.70",517210,timeout,3000,"","0"
"65",test,B,word,m,3p12_2,"1000",waitResponseWindow;min:100,"3000",m,"","1002","60","16.70",520217,timeout,2998,"","0"
"66",test,I,word,m,3p13_2,"1000",waitResponseWindow;min:100,"3000",m,"","1004","60","16.73",523209,timeout,2983,"","0"
"67",test,S,word,m,3p14_2C,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",526201,m;timeout,2983,1143;2983,"0"
"68",test,D,word,m,3p15_2,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",529209,timeout,3000,"","0"
"70",test,"",word,"",placeholder5,"",waitResponseWindow;min:100,"1500",m,"","","","",534056,timeout,1494,"",""
"71",test,E,word,m,2t1_1,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",537047,timeout,2982,"","0"
"72",test,S,word,m,2t2_1,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",540055,timeout,3000,"","0"
"73",test,M,word,m,2t3_1,"1000",waitResponseWindow;min:100,"3000",m,"","1002","60","16.70",543062,timeout,2998,"","0"
"74",test,A,word,m,2t4_1,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",546055,timeout,2984,"","0"
"75",test,M,word,m,2t5_1C,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",549046,m;timeout,2983,1350;2983,"0"
"76",test,I,word,m,2t6_1,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",552054,timeout,3000,"","0"
"77",test,M,word,m,2t7_1C,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",555062,timeout,2999,"","0"
"78",test,C,word,m,2t8_1,"1000",waitResponseWindow;min:100,"3000",m,"","1002","60","16.70",558054,timeout,2984,"","0"
"79",test,P,word,m,2t9_1,"1000",waitResponseWindow;min:100,"3000",m,"","1002","60","16.70",561062,timeout,3000,"","0"
"80",test,S,word,m,2t10_1,"1000",waitResponseWindow;min:100,"3000",m,"","1002","60","16.70",564070,timeout,3000,"","0"
"81",test,P,word,m,2t11_1C,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",567078,m;timeout,3000,447;3000,"0"
"82",test,S,word,m,2t12_1C,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",570086,m;timeout,3000,1253;3000,"0"
"83",test,D,word,m,2t13_1,"1000",waitResponseWindow;min:100,"3000",m,"","1002","60","16.70",573078,timeout,2983,"","0"
"84",test,I,word,m,2t14_1,"1000",waitResponseWindow;min:100,"3000",m,"","1002","60","16.70",576086,timeout,3000,"","0"
"85",test,O,word,m,2t15_1,"1000",waitResponseWindow;min:100,"3000",m,"","1002","60","16.70",579094,timeout,3000,"","0"
"86",test,I,word,m,2t16_1C,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",582102,timeout,3000,"","0"
"87",test,S,word,m,2t17_1,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",585110,timeout,3000,"","0"
"88",test,D,word,m,2t18_1,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",588102,m;timeout,2984,490;2984,"0"
"89",test,B,word,m,2t19_1,"1000",waitResponseWindow;min:100,"3000",m,"","1002","60","16.70",591110,timeout,3000,"","0"
"90",test,T,word,m,2t20_1,"1000",waitResponseWindow;min:100,"3000",m,"","1002","60","16.70",594117,timeout,2999,"","0"
"91",test,C,word,m,2t21_1,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",597109,timeout,2982,"","0"
"92",test,T,word,m,2t22_1C,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",600101,m;timeout,2983,730;2983,"0"
"94",test,"",word,"",placeholder6,"",waitResponseWindow;min:100,"1500",m,"","","","",605365,timeout,1487,"",""
"95",test,K,word,m,2t1_2,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",608372,timeout,2998,"","0"
"96",test,S,word,m,2t2_2,"1000",waitResponseWindow;min:100,"3000",m,"","1004","60","16.73",611365,timeout,2985,"","0"
"97",test,K,word,m,2t3_2C,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",614356,timeout,2983,"","0"
"98",test,S,word,m,2t4_2C,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",617364,timeout,3000,"","0"
"99",test,D,word,m,2t5_2,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",620372,m;timeout,2999,1739;2999,"0"
"100",test,H,word,m,2t6_2,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",623380,timeout,3000,"","0"
"101",test,D,word,m,2t7_2C,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",626372,m;timeout,2984,494;2984,"0"
"102",test,T,word,m,2t8_2,"1000",waitResponseWindow;min:100,"3000",m,"","1002","60","16.70",629380,timeout,3000,"","0"
"103",test,D,word,m,2t9_2C,"1000",waitResponseWindow;min:100,"3000",m,"","1002","60","16.70",632388,timeout,2998,"","0"
"104",test,B,word,m,2t10_2,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",635396,timeout,2999,"","0"
"105",test,I,word,m,2t11_2,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",638404,timeout,2998,"","0"
"106",test,R,word,m,2t12_2,"1000",waitResponseWindow;min:100,"3000",m,"","1002","60","16.70",641396,m;timeout,2984,365;2984,"0"
"107",test,C,word,m,2t13_2,"1000",waitResponseWindow;min:100,"3000",m,"","1002","60","16.70",644404,timeout,3000,"","0"
"108",test,E,word,m,2t14_2,"1000",waitResponseWindow;min:100,"3000",m,"","1002","60","16.70",647411,m;timeout,2999,1295;2999,"0"
"109",test,C,word,m,2t15_2C,"1000",waitResponseWindow;min:100,"3000",m,"","1004","60","16.73",650403,m;timeout,2982,581;2982,"0"
"110",test,A,word,m,2t16_2,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",653395,timeout,2983,"","0"
"111",test,O,word,m,2t17_2,"1000",waitResponseWindow;min:100,"3000",m,"","1002","60","16.70",656403,timeout,2998,"","0"
"112",test,C,word,m,2t18_2,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",659411,timeout,3000,"","0"
"113",test,M,word,m,2t19_2,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",662419,m;timeout,3000,790;3000,"0"
"114",test,E,word,m,2t20_2,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",665427,timeout,2998,"","0"
"115",test,R,word,m,2t21_2,"1000",waitResponseWindow;min:100,"3000",m,"","1002","60","16.70",668419,timeout,2983,"","0"
"116",test,E,word,m,2t22_2C,"1000",waitResponseWindow;min:100,"3000",m,"","1002","60","16.70",671427,m;timeout,3000,1255;3000,"0"
"118",test,"",word,"",placeholder7,"",waitResponseWindow;min:100,"1500",m,"","","","",692300,timeout,1478,"",""
"119",test,C,word,m,3t1_1,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",695308,timeout,2998,"","0"
"120",test,P,word,m,3t2_1,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",698316,timeout,3000,"","0"
"121",test,R,word,m,3t3_1,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",701308,timeout,2984,"","0"
"122",test,L,word,m,3t4_1,"1000",waitResponseWindow;min:100,"3000",m,"","1002","60","16.70",704316,timeout,3000,"","0"
"123",test,H,word,m,3t5_1,"1000",waitResponseWindow;min:100,"3000",m,"","1002","60","16.70",707324,timeout,3000,"","0"
"124",test,R,word,m,3t6_1C,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",710332,m;timeout,2999,892;2999,"0"
"125",test,L,word,m,3t7_1C,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",713340,m;timeout,2999,1214;2999,"0"
"126",test,H,word,m,3t8_1C,"1000",waitResponseWindow;min:100,"3000",m,"","1002","60","16.70",716347,timeout,2998,"","0"
"127",test,M,word,m,3t9_1,"1000",waitResponseWindow;min:100,"3000",m,"","1004","60","16.73",719340,timeout,2984,"","0"
"128",test,O,word,m,3t10_1,"1000",waitResponseWindow;min:100,"3000",m,"","1002","60","16.70",722348,timeout,3000,"","0"
"129",test,T,word,m,3t11_1,"1000",waitResponseWindow;min:100,"3000",m,"","1002","60","16.70",725356,timeout,3000,"","0"
"130",test,M,word,m,3t12_1C,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",728364,m;timeout,3000,502;3000,"0"
"131",test,S,word,m,3t13_1,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",731372,timeout,3000,"","0"
"132",test,I,word,m,3t14_1,"1000",waitResponseWindow;min:100,"3000",m,"","1002","60","16.70",734364,timeout,2984,"","0"
"133",test,A,word,m,3t15_1,"1000",waitResponseWindow;min:100,"3000",m,"","1002","60","16.70",737372,timeout,3000,"","0"
"134",test,E,word,m,3t16_1,"1000",waitResponseWindow;min:100,"3000",m,"","1002","60","16.70",740380,timeout,3000,"","0"
"135",test,C,word,m,3t17_1,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",743388,timeout,3000,"","0"
"136",test,M,word,m,3t18_1,"1000",waitResponseWindow;min:100,"3000",m,"","1002","60","16.70",746396,m;timeout,2999,863;2999,"0"
"137",test,E,word,m,3t19_1C,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",749388,timeout,2984,"","0"
"138",test,R,word,m,3t20_1,"1000",waitResponseWindow;min:100,"3000",m,"","1002","60","16.70",752396,timeout,3000,"","0"
"139",test,M,word,m,3t21_1C,"1000",waitResponseWindow;min:100,"3000",m,"","1002","60","16.70",755404,timeout,3000,"","0"
"140",test,H,word,m,3t22_1,"1000",waitResponseWindow;min:100,"3000",m,"","1002","60","16.70",758412,timeout,3000,"","0"
"141",test,T,word,m,3t23_1,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",761420,timeout,3000,"","0"
"143",test,"",word,"",placeholder8,"",waitResponseWindow;min:100,"1500",m,"","","","",765047,timeout,1494,"",""
"144",test,O,word,m,3t1_2,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",768038,timeout,2982,"","0"
"145",test,L,word,m,3t2_2,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",771046,timeout,2998,"","0"
"146",test,D,word,m,3t3_2,"1000",waitResponseWindow;min:100,"3000",m,"","1002","60","16.70",774054,timeout,3000,"","0"
"147",test,K,word,m,3t4_2,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",777062,timeout,3000,"","0"
"148",test,I,word,m,3t5_2,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",780054,timeout,2984,"","0"
"149",test,D,word,m,3t6_2C,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",783062,m;timeout,2999,1120;2999,"0"
"150",test,A,word,m,3t7_2,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",786070,timeout,3000,"","0"
"151",test,E,word,m,3t8_2,"1000",waitResponseWindow;min:100,"3000",m,"","1002","60","16.70",789078,m;timeout,3000,910;3000,"0"
"152",test,B,word,m,3t9_2,"1000",waitResponseWindow;min:100,"3000",m,"","1002","60","16.70",792070,timeout,2984,"","0"
"153",test,S,word,m,3t10_2,"1000",waitResponseWindow;min:100,"3000",m,"","1001","60","16.68",795078,timeout,3000,"","0"
"154",test,P,word,m,3t11_2,"1000",waitResponseWindow;min:100,"3000",m,"","1002","60","16.70",798086,timeout,3000,"","0"
"155",test,B,word,m,3t12_2C,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",801094,timeout,3000,"","0"
"156",test,C,word,m,3t13_2,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",804102,timeout,3000,"","0"
"157",test,P,word,m,3t14_2C,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",807094,m;timeout,2983,900;2983,"0"
"158",test,R,word,m,3t15_2,"1000",waitResponseWindow;min:100,"3000",m,"","1002","60","16.70",810102,timeout,3000,"","0"
"159",test,C,word,m,3t16_2C,"1000",waitResponseWindow;min:100,"3000",m,"","1002","60","16.70",813110,timeout,3000,"","0"
"160",test,S,word,m,3t17_2,"1000",waitResponseWindow;min:100,"3000",m,"","1002","60","16.70",816118,timeout,3000,"","0"
"161",test,R,word,m,3t18_2C,"1000",waitResponseWindow;min:100,"3000",m,"","1002","60","16.70",819125,m;timeout,2999,766;2999,"0"
"162",test,K,word,m,3t19_2,"1000",waitResponseWindow;min:100,"3000",m,"","1004","60","16.73",822118,timeout,2984,"","0"
"163",test,C,word,m,3t20_2,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",825109,timeout,2983,"","0"
"164",test,S,word,m,3t21_2,"1000",waitResponseWindow;min:100,"3000",m,"","1002","60","16.70",828117,m;timeout,3000,1225;3000,"0"
"165",test,K,word,m,3t22_2C,"1000",waitResponseWindow;min:100,"3000",m,"","1003","60","16.72",831125,m;timeout,2998,1151;2998,"0"
"166",test,T,word,m,3t23_2,"1000",waitResponseWindow;min:100,"3000",m,"","1002","60","16.70",834117,timeout,2983,"","0"
