browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Firefox,"111.0",Windows,en-US,2023-03-30_17:21:04,2023-03-30_19:21:04,2023-03-28_21:34:45,https://www.testable.org/experiment/11502/795217/start?eid=2&ec=2&token=0TGQkoV4p3DZKgJ,4566.533

rowNo,type,stim1,stimFormat,key,label,presTime,keyboard,feedback,responseWindow,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,correct
"55",test,G,word,"",3p6-1,"500",m,correct: This is correct!; incorrect: This is incorrect!,"3000","500","30","16.66",4215255,timeout,2992,""
"56",test,J,word,"",3p7-1,"500",m,correct: This is correct!; incorrect: This is incorrect!,"3000","500","30","16.66",4218255,timeout,2992,""
"57",test,I,word,m,3p8-1,"500",m,correct: This is correct!; incorrect: This is incorrect!,"3000","500","30","16.66",4221254,timeout,2985,"0"
"58",test,G,word,m,3p9-1,"500",m,correct: This is correct!; incorrect: This is incorrect!,"3000","500","30","16.66",4224253,timeout,2996,"0"
"59",test,K,word,"",3p10-1,"500",m,correct: This is correct!; incorrect: This is incorrect!,"3000","500","30","16.66",4227253,timeout,2996,""
"60",test,Q,word,"",3p11-1,"500",m,correct: This is correct!; incorrect: This is incorrect!,"3000","500","30","16.66",4230252,timeout,2995,""
"61",test,G,word,m,3p12-1,"500",m,correct: This is correct!; incorrect: This is incorrect!,"3000","500","30","16.66",4231139,m,883,"1"
"62",test,Y,word,"",3p13-1,"500",m,correct: This is correct!; incorrect: This is incorrect!,"3000","500","31","16.13",4238901,timeout,2996,""
"63",test,A,word,"",3p14-1,"500",m,correct: This is correct!; incorrect: This is incorrect!,"3000","500","30","16.66",4241900,timeout,2995,""
"64",test,T,word,"",3p15-1,"500",m,correct: This is correct!; incorrect: This is incorrect!,"3000","500","30","16.66",4244900,timeout,2996,""
"65",test,L,word,"",3p16-1,"500",m,correct: This is correct!; incorrect: This is incorrect!,"3000","500","30","16.66",4247900,timeout,2996,""
"66",test,J,word,"",3p17-1,"500",m,correct: This is correct!; incorrect: This is incorrect!,"3000","500","30","16.66",4250899,timeout,2997,""
"67",test,O,word,"",3p18-1,"500",m,correct: This is correct!; incorrect: This is incorrect!,"3000","500","30","16.66",4253898,timeout,2995,""
"68",test,X,word,"",3p19-1,"500",m,correct: This is correct!; incorrect: This is incorrect!,"3000","500","30","16.66",4256898,timeout,2996,""
"69",test,J,word,m,3p20-1,"500",m,correct: This is correct!; incorrect: This is incorrect!,"3000","500","30","16.66",4257606,m,705,"1"
"70",test,J,word,"",3p21-1,"500",m,correct: This is correct!; incorrect: This is incorrect!,"3000","500","31","16.13",4262931,timeout,2993,""
"71",test,X,word,m,3p22-1,"500",m,correct: This is correct!; incorrect: This is incorrect!,"3000","500","30","16.66",4263776,m,841,"1"
"72",test,A,word,"",3p23-1,"500",m,correct: This is correct!; incorrect: This is incorrect!,"3000","500","30","16.66",4268529,timeout,2988,""
"74",test,O,word,"",3p1-2,"500",m,"","3000","500","30","16.66",4277178,timeout,2983,""
"75",test,Y,word,"",3p2-2,"500",m,"","3000","500","30","16.66",4280178,timeout,2986,""
"76",test,S,word,"",3p3-2,"500",m,"","3000","500","30","16.66",4283177,timeout,2991,""
"77",test,D,word,"",3p4-2,"500",m,"","3000","500","30","16.66",4286177,timeout,2987,""
"78",test,E,word,"",3p5-2,"500",m,"","3000","500","30","16.66",4289176,timeout,2989,""
"79",test,S,word,m,3p6-2,"500",m,"","3000","500","30","16.66",4290357,m,1171,"1"
"80",test,G,word,"",3p7-2,"500",m,"","3000","500","30","16.66",4293341,timeout,2980,""
"81",test,E,word,"",3p8-2,"500",m,"","3000","500","30","16.66",4294457,m,1110,""
"82",test,I,word,"",3p9-2,"500",m,"","3000","500","30","16.66",4297442,timeout,2981,""
"83",test,J,word,"",3p10-2,"500",m,"","3000","500","30","16.66",4300441,timeout,2993,""
"84",test,K,word,"",3p11-2,"500",m,"","3000","500","30","16.66",4303440,timeout,2989,""
"85",test,L,word,"",3p12-2,"500",m,"","3000","500","30","16.66",4304244,m,798,""
"86",test,M,word,"",3p13-2,"500",m,"","3000","500","30","16.66",4307240,timeout,2986,""
"87",test,N,word,"",3p14-2,"500",m,"","3000","500","30","16.66",4310239,timeout,2987,""
"88",test,L,word,m,3p15-2,"500",m,"","3000","343","20","16.66",4310581,m,332,"1"
"89",test,P,word,"",3p16-2,"500",m,"","3000","500","30","16.66",4313571,timeout,2984,""
"90",test,N,word,m,3p17-2,"500",m,"","3000","500","30","16.66",4316570,timeout,2992,"0"
"91",test,R,word,"",3p18-2,"500",m,"","3000","500","30","16.66",4319570,timeout,2996,""
"92",test,S,word,"",3p19-2,"500",m,"","3000","500","30","16.66",4322570,timeout,2986,""
"93",test,T,word,"",3p20-2,"500",m,"","3000","500","30","16.66",4325569,timeout,2993,""
"94",test,R,word,m,3p21-2,"500",m,"","3000","500","30","16.66",4327369,m,1793,"1"
"95",test,S,word,m,3p22-2,"500",m,"","3000","500","30","16.66",4328559,m,1180,"1"
"96",test,T,word,m,3p23-2,"500",m,"","3000","500","30","16.66",4331551,timeout,2989,"0"
"98",test,Z,word,"",2t1-1,"500",m,"","3000","500","30","16.66",4347049,timeout,2985,""
"99",test,A,word,"",2t2-1,"500",m,"","3000","500","30","16.66",4350048,timeout,2994,""
"100",test,Q,word,"",2t3-1,"500",m,"","3000","500","30","16.66",4353047,timeout,2992,""
"101",test,A,word,m,2t4-1,"500",m,"","3000","500","30","16.66",4353810,m,757,"1"
"102",test,Q,word,m,2t5-1,"500",m,"","3000","500","30","16.66",4354730,m,917,"1"
"103",test,B,word,"",2t6-1,"500",m,"","3000","500","30","16.66",4357713,timeout,2980,""
"104",test,C,word,"",2t7-1,"500",m,"","3000","500","30","16.66",4360713,timeout,2995,""
"105",test,I,word,"",2t8-1,"500",m,"","3000","500","30","16.66",4363713,timeout,2997,""
"106",test,C,word,m,2t9-1,"500",m,"","3000","500","30","16.66",4366712,timeout,2995,"0"
"107",test,J,word,"",2t10-1,"500",m,"","3000","500","30","16.66",4369712,timeout,2994,""
"108",test,C,word,m,2t11-1,"500",m,"","3000","500","30","16.66",4370301,m,586,"1"
"109",test,T,word,"",2t12-1,"500",m,"","3000","500","30","16.66",4373295,timeout,2991,""
"110",test,T,word,"",2t13-1,"500",m,"","3000","500","30","16.66",4376294,timeout,2987,""
"111",test,A,word,"",2t14-1,"500",m,"","3000","500","30","16.66",4379293,timeout,2996,""
"112",test,Z,word,"",2t15-1,"500",m,"","3000","500","30","16.66",4382293,timeout,2996,""
"113",test,U,word,"",2t16-1,"500",m,"","3000","500","30","16.66",4385292,timeout,2992,""
"114",test,I,word,"",2t17-1,"500",m,"","3000","500","30","16.66",4388292,timeout,2995,""
"115",test,P,word,"",2t18-1,"500",m,"","3000","500","30","16.66",4391291,timeout,2993,""
"116",test,I,word,m,2t19-1,"500",m,"","3000","500","30","16.66",4392324,m,1029,"1"
"117",test,Q,word,"",2t20-1,"500",m,"","3000","500","30","16.66",4395307,timeout,2978,""
"118",test,H,word,"",2t21-1,"500",m,"","3000","500","30","16.66",4398306,timeout,2995,""
"119",test,Q,word,m,2t22-1,"500",m,"","3000","500","30","16.66",4398900,m,585,"1"
"121",test,D,word,"",2t1-2,"500",m,"","3000","500","31","16.13",4415354,timeout,2992,""
"122",test,S,word,"",2t2-2,"500",m,"","3000","500","30","16.66",4418353,timeout,2991,""
"123",test,C,word,"",2t3-2,"500",m,"","3000","500","30","16.66",4421352,timeout,2991,""
"124",test,S,word,m,2t4-2,"500",m,"","3000","500","30","16.66",4422335,m,978,"1"
"125",test,E,word,"",2t5-2,"500",m,"","3000","500","30","16.66",4425318,timeout,2977,""
"126",test,F,word,"",2t6-2,"500",m,"","3000","500","30","16.66",4428317,timeout,2983,""
"127",test,G,word,"",2t7-2,"500",m,"","3000","500","30","16.66",4431318,timeout,2997,""
"128",test,H,word,"",2t8-2,"500",m,"","3000","500","30","16.66",4434317,timeout,2990,""
"129",test,I,word,"",2t9-2,"500",m,"","3000","500","30","16.66",4437316,timeout,2994,""
"130",test,H,word,m,2t10-2,"500",m,"","3000","500","30","16.66",4440316,timeout,2996,"0"
"131",test,K,word,"",2t11-2,"500",m,"","3000","500","30","16.66",4443316,timeout,2995,""
"132",test,H,word,m,2t12-2,"500",m,"","3000","500","30","16.66",4446316,timeout,2988,"0"
"133",test,K,word,m,2t13-2,"500",m,"","3000","500","30","16.66",4449315,timeout,2993,"0"
"134",test,N,word,"",2t14-2,"500",m,"","3000","500","30","16.66",4452314,timeout,2992,""
"135",test,O,word,"",2t15-2,"500",m,"","3000","500","30","16.66",4455314,timeout,2993,""
"136",test,N,word,m,2t16-2,"500",m,"","3000","500","30","16.66",4458313,timeout,2990,"0"
"137",test,Q,word,"",2t17-2,"500",m,"","3000","500","30","16.66",4461312,timeout,2990,""
"138",test,R,word,"",2t18-2,"500",m,"","3000","500","30","16.66",4464311,timeout,2996,""
"139",test,S,word,"",2t19-2,"500",m,"","3000","500","30","16.66",4467311,timeout,2994,""
"140",test,T,word,"",2t20-2,"500",m,"","3000","500","30","16.66",4470310,timeout,2986,""
"141",test,U,word,"",2t21-2,"500",m,"","3000","500","30","16.66",4473310,timeout,2994,""
"142",test,T,word,m,2t22-2,"500",m,"","3000","500","30","16.66",4476309,timeout,2996,"0"
"144",test,C,word,"",3t1-1,"500",m,"","3000","500","30","16.66",4485907,timeout,2987,""
"145",test,W,word,"",3t2-1,"500",m,"","3000","500","30","16.66",4488907,timeout,2996,""
"146",test,J,word,"",3t3-1,"500",m,"","3000","500","30","16.66",4491907,timeout,2996,""
"147",test,D,word,"",3t4-1,"500",m,"","3000","500","30","16.66",4494907,timeout,2997,""
"148",test,E,word,"",3t5-1,"500",m,"","3000","500","30","16.66",4497906,timeout,2993,""
"149",test,J,word,m,3t6-1,"500",m,"","3000","500","30","16.66",4499578,m,1659,"1"
"150",test,D,word,m,3t7-1,"500",m,"","3000","500","30","16.66",4502572,timeout,2981,"0"
"151",test,H,word,"",3t8-1,"500",m,"","3000","11","0",NaN,4502582,m,0,""
"152",test,I,word,"",3t9-1,"500",m,"","3000","500","30","16.66",4505571,timeout,2986,""
"153",test,J,word,"",3t10-1,"500",m,"","3000","500","30","16.66",4508571,timeout,2995,""
"154",test,K,word,"",3t11-1,"500",m,"","3000","500","30","16.66",4511571,timeout,2993,""
"155",test,I,word,m,3t12-1,"500",m,"","3000","500","30","16.66",4514570,timeout,2990,"0"
"156",test,M,word,"",3t13-1,"500",m,"","3000","382","22","16.66",4514951,m,367,""
"157",test,K,word,m,3t14-1,"500",m,"","3000","500","30","16.66",4517936,timeout,2976,"0"
"158",test,O,word,"",3t15-1,"500",m,"","3000","500","30","16.66",4520935,timeout,2992,""
"159",test,M,word,m,3t16-1,"500",m,"","3000","500","30","16.66",4523935,timeout,2992,"0"
"160",test,K,word,m,3t17-1,"500",m,"","3000","500","30","16.66",4524804,m,862,"1"
"161",test,R,word,"",3t18-1,"500",m,"","3000","500","30","16.66",4527800,timeout,2991,""
"162",test,S,word,"",3t19-1,"500",m,"","3000","500","30","16.66",4530800,timeout,2986,""
"163",test,E,word,"",3t20-1,"500",m,"","3000","500","30","16.66",4533799,timeout,2986,""
"164",test,U,word,"",3t21-1,"500",m,"","3000","500","30","16.66",4536800,timeout,2993,""
"165",test,V,word,"",3t22-1,"500",m,"","3000","500","30","16.66",4539799,timeout,2991,""
"166",test,W,word,"",3t23-1,"500",m,"","3000","500","30","16.66",4542798,timeout,2986,""
"168",test,M,word,"",3t1-2,"500",m,"","3000","500","30","16.66",4548129,timeout,2981,""
"169",test,S,word,"",3t2-2,"500",m,"","3000","500","30","16.66",4551130,timeout,2996,""
"170",test,K,word,"",3t3-2,"500",m,"","3000","500","30","16.66",4554129,timeout,2995,""
"171",test,D,word,"",3t4-2,"500",m,"","3000","500","30","16.66",4557129,timeout,2997,""
"172",test,S,word,m,3t5-2,"500",m,"","3000","337","20","16.66",4557465,m,332,"1"
"173",test,F,word,"",3t6-2,"500",m,"","3000","228","13","16.66",4557689,m,221,""
"174",test,G,word,"",3t7-2,"500",m,"","3000","214","12","16.66",4557892,m,199,""
"175",test,S,word,m,3t8-2,"500",m,"","3000","190","11","16.66",4558067,m,163,"1"
"176",test,F,word,m,3t9-2,"500",m,"","3000","165","9","16.66",4558226,m,154,"1"
"177",test,G,word,m,3t10-2,"500",m,"","3000","150","8","16.66",4558361,m,133,"1"
"178",test,K,word,"",3t11-2,"500",m,"","3000","195","11","16.66",4558539,m,174,""
"179",test,L,word,"",3t12-2,"500",m,"","3000","500","30","16.66",4561528,timeout,2985,""
"180",test,M,word,"",3t13-2,"500",m,"","3000","500","30","16.66",4564427,m,2887,""
"181",test,K,word,m,3t14-2,"500",m,"","3000","259","15","16.66",4564669,m,239,"1"
"182",test,O,word,"",3t15-2,"500",m,"","3000","190","11","16.66",4564850,m,176,""
"183",test,Z,word,"",3t16-2,"500",m,"","3000","199","11","16.66",4565042,m,188,""
"184",test,Q,word,"",3t17-2,"500",m,"","3000","160","9","16.66",4565187,m,142,""
"185",test,R,word,"",3t18-2,"500",m,"","3000","306","18","16.66",4565483,m,293,""
"186",test,S,word,"",3t19-2,"500",m,"","3000","176","10","16.66",4565652,m,164,""
"187",test,Q,word,m,3t20-2,"500",m,"","3000","194","11","16.66",4565837,m,176,"1"
"188",test,U,word,"",3t21-2,"500",m,"","3000","171","10","16.66",4565997,m,154,""
"189",test,V,word,"",3t22-2,"500",m,"","3000","185","11","16.66",4566178,m,171,""
"190",test,W,word,"",3t23-2,"500",m,"","3000","181","10","16.66",4566357,m,176,""
