"rt","recall","correct_answer","stimuli","spatial_demo_accuracy","set_size","token","browser","trial_type","trial_index","time_elapsed","unix_timeStamp","internal_node_id","symm_demo_accuracy","symm_fulldemo_accuracy","symm_accuracy","spatial_accuracy"
"5460","","","","","","","","symmetry-judgement-task-fulldemo","62","253404","1684686367773","0.0-6.0-0.2-1.5","","0","",""
"4852","","","","","","","","symmetry-judgement-task-fulldemo","65","259357","1684686373726","0.0-6.0-0.2-1.6","","1","",""
"2853","","","","","","","","symmetry-judgement-task-fulldemo","68","263304","1684686377673","0.0-6.0-0.2-1.7","","1","",""
"3265","","","","","","","","symmetry-judgement-task-fulldemo","71","267662","1684686382031","0.0-6.0-0.2-1.8","","1","",""
"14933","8_3_1_15","4_3_2_15","1:0_0:3_0:2_3:3","2","4","","","spatial-span-recall-demo","73","282601","1684686396970","0.0-6.0-1.2","","","",""
"4436","","","","","","","","symmetry-judgement-task-fulldemo","76","294190","1684686408559","0.0-6.0-0.3-1.9","","1","",""
"2861","","","","","","","","symmetry-judgement-task-fulldemo","79","298149","1684686412518","0.0-6.0-0.3-1.10","","1","",""
"3673","","","","","","","","symmetry-judgement-task-fulldemo","82","302925","1684686417294","0.0-6.0-0.3-1.11","","1","",""
"2892","","","","","","","","symmetry-judgement-task-fulldemo","85","306913","1684686421282","0.0-6.0-0.3-1.12","","1","",""
"2608","","","","","","","","symmetry-judgement-task-fulldemo","88","310624","1684686424992","0.0-6.0-0.3-1.13","","1","",""
"15184","8_3_5_2_11","8_7_4_3_6","2:0_1:3_1:0_0:3_1:2","1","5","","","spatial-span-recall-demo","90","325817","1684686440186","0.0-6.0-1.3","","","",""
"3246","","","","","","","","symmetry-judgement-task","94","343534","1684686457903","0.0-8.0-0.0-1.0","","","1",""
"3462","","","","","","","","symmetry-judgement-task","97","348094","1684686462463","0.0-8.0-0.0-1.1","","","1",""
"2566","","","","","","","","symmetry-judgement-task","100","351755","1684686466124","0.0-8.0-0.0-1.2","","","1",""
"13039","15_11_8","15_7_12","3:3_1:3_3:0","","3","","","spatial-span-recall","102","364800","1684686479169","0.0-8.0-1.0","","","","1"
"3526","","","","","","","","symmetry-judgement-task","105","375277","1684686489646","0.0-8.0-0.1-1.3","","","1",""
"1828","","","","","","","","symmetry-judgement-task","108","378209","1684686492578","0.0-8.0-0.1-1.4","","","1",""
"4859","5_6","5_6","1:1_1:2","","2","","","spatial-span-recall","110","383077","1684686497446","0.0-8.0-1.1","","","","2"
"3274","","","","","","","","symmetry-judgement-task","113","390326","1684686504695","0.0-8.0-0.2-1.5","","","1",""
"2179","","","","","","","","symmetry-judgement-task","116","393610","1684686507979","0.0-8.0-0.2-1.6","","","1",""
"4657","2_6","2_6","0:2_1:2","","2","","","spatial-span-recall","118","398278","1684686512647","0.0-8.0-1.2","","","","2"
"2990","","","","","","","","symmetry-judgement-task","121","404378","1684686518747","0.0-8.0-0.3-1.7","","","1",""
"3725","","","","","","","","symmetry-judgement-task","124","409200","1684686523569","0.0-8.0-0.3-1.8","","","1",""
"2660","","","","","","","","symmetry-judgement-task","127","412952","1684686527321","0.0-8.0-0.3-1.9","","","0",""
"6863","1_9_0","1_12_0","0:1_3:0_0:0","","3","","","spatial-span-recall","129","419821","1684686534190","0.0-8.0-1.3","","","","2"
"4061","","","","","","","","symmetry-judgement-task","132","428169","1684686542538","0.0-8.0-0.4-1.10","","","1",""
"4995","","","","","","","","symmetry-judgement-task","135","434257","1684686548626","0.0-8.0-0.4-1.11","","","1",""
"3043","","","","","","","","symmetry-judgement-task","138","438398","1684686552767","0.0-8.0-0.4-1.12","","","1",""
"8233","8_1_0","4_5_1","1:0_1:1_0:1","","3","","","spatial-span-recall","140","446641","1684686561010","0.0-8.0-1.4","","","","0"
"3676","","","","","","","","symmetry-judgement-task","143","454898","1684686569267","0.0-8.0-0.5-1.13","","","1",""
"3150","","","","","","","","symmetry-judgement-task","146","459147","1684686573516","0.0-8.0-0.5-1.14","","","1",""
"2876","","","","","","","","symmetry-judgement-task","149","463122","1684686577491","0.0-8.0-0.5-1.15","","","1",""
"2739","","","","","","","","symmetry-judgement-task","152","466964","1684686581333","0.0-8.0-0.5-1.16","","","1",""
"6732","3_2_0_13","3_2_0_13","0:3_0:2_0:0_3:1","","4","","","spatial-span-recall","154","473706","1684686588075","0.0-8.0-1.5","","","","4"
"2058","","","","","","","","symmetry-judgement-task","157","480197","1684686594566","0.0-8.0-0.6-1.17","","","1",""
"1915","","","","","","","","symmetry-judgement-task","160","483209","1684686597578","0.0-8.0-0.6-1.18","","","1",""
"2579","","","","","","","","symmetry-judgement-task","163","486881","1684686601250","0.0-8.0-0.6-1.19","","","0",""
"3032","","","","","","","","symmetry-judgement-task","166","491005","1684686605374","0.0-8.0-0.6-1.20","","","1",""
"4929","","","","","","","","symmetry-judgement-task","169","497026","1684686611395","0.0-8.0-0.6-1.21","","","1",""
"14246","13_5_1_8","13_5_1_8_4","3:1_1:1_0:1_2:0_1:0","","5","","","spatial-span-recall","171","511280","1684686625649","0.0-8.0-1.6","","","","4"
"3125","","","","","","","","symmetry-judgement-task","174","520094","1684686634463","0.0-8.0-0.7-1.22","","","1",""
"2978","","","","","","","","symmetry-judgement-task","177","524169","1684686638538","0.0-8.0-0.7-1.23","","","1",""
"3303","","","","","","","","symmetry-judgement-task","180","528565","1684686642934","0.0-8.0-0.7-1.24","","","1",""
"1814","","","","","","","","symmetry-judgement-task","183","531476","1684686645845","0.0-8.0-0.7-1.25","","","1",""
"8439","9_14_4_5","9_14_5_6","2:1_3:2_1:1_1:2","","4","","","spatial-span-recall","185","539920","1684686654289","0.0-8.0-1.7","","","","2"
"5479","","","","","","","","symmetry-judgement-task","188","548622","1684686662991","0.0-8.0-0.8-1.26","","","1",""
"1805","","","","","","","","symmetry-judgement-task","191","551529","1684686665898","0.0-8.0-0.8-1.27","","","1",""
"4527","3_2","3_2","0:3_0:2","","2","","","spatial-span-recall","193","556061","1684686670430","0.0-8.0-1.8","","","","2"
"3899","","","","","","","","symmetry-judgement-task","196","563158","1684686677527","0.0-8.0-0.9-1.28","","","1",""
"1652","","","","","","","","symmetry-judgement-task","199","565907","1684686680276","0.0-8.0-0.9-1.29","","","1",""
"3934","","","","","","","","symmetry-judgement-task","202","570937","1684686685306","0.0-8.0-0.9-1.30","","","1",""
"2323","","","","","","","","symmetry-judgement-task","205","574359","1684686688728","0.0-8.0-0.9-1.31","","","1",""
"3748","","","","","","","","symmetry-judgement-task","208","579202","1684686693571","0.0-8.0-0.9-1.32","","","1",""
"26841","9_1_3_4","9_1_14_6_8","2:1_0:1_3:2_1:2_2:0","","5","","","spatial-span-recall","210","606049","1684686720417","0.0-8.0-1.9","","","","2"
"3221","","","","","","","","symmetry-judgement-task","213","613856","1684686728225","0.0-8.0-0.10-1.33","","","1",""
"1776","","","","","","","","symmetry-judgement-task","216","616729","1684686731098","0.0-8.0-0.10-1.34","","","0",""
"2098","","","","","","","","symmetry-judgement-task","219","619924","1684686734293","0.0-8.0-0.10-1.35","","","1",""
"1792","","","","","","","","symmetry-judgement-task","222","622812","1684686737181","0.0-8.0-0.10-1.36","","","1",""
"7186","9_13_3_6","9_13_3_6","2:1_3:1_0:3_1:2","","4","","","spatial-span-recall","224","630004","1684686744373","0.0-8.0-1.10","","","","4"
"5157","","","","","","","","symmetry-judgement-task","227","639232","1684686753601","0.0-8.0-0.11-1.37","","","1",""
"1847","","","","","","","","symmetry-judgement-task","230","642178","1684686756547","0.0-8.0-0.11-1.38","","","0",""
"3831","","","","","","","","symmetry-judgement-task","233","647104","1684686761473","0.0-8.0-0.11-1.39","","","1",""
"5067","","","","","","","","symmetry-judgement-task","236","653271","1684686767640","0.0-8.0-0.11-1.40","","","1",""
"null","","","","","","","","symmetry-judgement-task","239","660370","1684686774739","0.0-8.0-0.11-1.41","","","",""
"14841","3_2_8_7_14","3_7_8_2_9","0:3_1:3_2:0_0:2_2:1","","5","","","spatial-span-recall","241","675227","1684686789596","0.0-8.0-1.11","","","","2"
