"rt","recall","correct_answer","stimuli","spatial_demo_accuracy","set_size","token","trial_type","trial_index","time_elapsed","unix_timeStamp","internal_node_id","symm_demo_accuracy","symm_accuracy","spatial_accuracy"
"848","","","","","","","symmetry-judgement-task","143","218258","1679011665637","0.0-8.0-0.5-1.13","","1",""
"1002","","","","","","","symmetry-judgement-task","146","220455","1679011667834","0.0-8.0-0.5-1.14","","1",""
"1839","","","","","","","symmetry-judgement-task","149","223355","1679011670734","0.0-8.0-0.5-1.15","","1",""
"920","","","","","","","symmetry-judgement-task","152","225485","1679011672864","0.0-8.0-0.5-1.16","","1",""
"1845","14_10_4_5","14_10_4_5","3:2_2:2_1:0_1:1","","4","","spatial-span-recall","154","227337","1679011674716","0.0-8.0-1.5","","","4"
"917","","","","","","","symmetry-judgement-task","157","230136","1679011677515","0.0-8.0-0.6-1.17","","1",""
"1001","","","","","","","symmetry-judgement-task","160","232347","1679011679726","0.0-8.0-0.6-1.18","","1",""
"977","","","","","","","symmetry-judgement-task","163","234498","1679011681877","0.0-8.0-0.6-1.19","","1",""
"1519","","","","","","","symmetry-judgement-task","166","237197","1679011684576","0.0-8.0-0.6-1.20","","1",""
"963","","","","","","","symmetry-judgement-task","169","239333","1679011686712","0.0-8.0-0.6-1.21","","1",""
"2109","6_5_8_0_9","6_5_8_0_9","1:2_1:1_2:0_0:0_2:1","","5","","spatial-span-recall","171","241453","1679011688832","0.0-8.0-1.6","","","5"
"1022","","","","","","","symmetry-judgement-task","174","244679","1679011692058","0.0-8.0-0.7-1.22","","1",""
"686","","","","","","","symmetry-judgement-task","177","246534","1679011693913","0.0-8.0-0.7-1.23","","1",""
"1553","","","","","","","symmetry-judgement-task","180","249278","1679011696657","0.0-8.0-0.7-1.24","","1",""
"863","","","","","","","symmetry-judgement-task","183","251324","1679011698703","0.0-8.0-0.7-1.25","","0",""
"1802","11_5_4_0","11_5_4_0","2:3_1:1_1:0_0:0","","4","","spatial-span-recall","185","253136","1679011700515","0.0-8.0-1.7","","","4"
"1042","","","","","","","symmetry-judgement-task","188","256555","1679011703934","0.0-8.0-0.8-1.26","","1",""
"1301","","","","","","","symmetry-judgement-task","191","259044","1679011706423","0.0-8.0-0.8-1.27","","1",""
"1611","15_12","15_12","3:3_3:0","","2","","spatial-span-recall","193","260665","1679011708044","0.0-8.0-1.8","","","2"
"945","","","","","","","symmetry-judgement-task","196","263919","1679011711298","0.0-8.0-0.9-1.28","","1",""
"1127","","","","","","","symmetry-judgement-task","199","266230","1679011713609","0.0-8.0-0.9-1.29","","1",""
"1062","","","","","","","symmetry-judgement-task","202","268568","1679011715947","0.0-8.0-0.9-1.30","","1",""
"909","","","","","","","symmetry-judgement-task","205","270664","1679011718043","0.0-8.0-0.9-1.31","","1",""
"967","","","","","","","symmetry-judgement-task","208","272809","1679011720188","0.0-8.0-0.9-1.32","","1",""
"2258","6_5_9_2_10","6_5_9_2_10","1:2_1:1_2:1_0:2_2:2","","5","","spatial-span-recall","210","275076","1679011722455","0.0-8.0-1.9","","","5"
"1594","","","","","","","symmetry-judgement-task","213","278706","1679011726085","0.0-8.0-0.10-1.33","","1",""
"1065","","","","","","","symmetry-judgement-task","216","280964","1679011728343","0.0-8.0-0.10-1.34","","1",""
"917","","","","","","","symmetry-judgement-task","219","283048","1679011730427","0.0-8.0-0.10-1.35","","1",""
"859","","","","","","","symmetry-judgement-task","222","285088","1679011732467","0.0-8.0-0.10-1.36","","0",""
"2052","8_6_1_0","8_6_1_0","2:0_1:2_0:1_0:0","","4","","spatial-span-recall","224","287148","1679011734527","0.0-8.0-1.10","","","4"
"854","","","","","","","symmetry-judgement-task","227","290668","1679011738047","0.0-8.0-0.11-1.37","","1",""
"1123","","","","","","","symmetry-judgement-task","230","292982","1679011740361","0.0-8.0-0.11-1.38","","1",""
"863","","","","","","","symmetry-judgement-task","233","295156","1679011742535","0.0-8.0-0.11-1.39","","1",""
"1745","","","","","","","symmetry-judgement-task","236","297981","1679011745360","0.0-8.0-0.11-1.40","","1",""
"1199","","","","","","","symmetry-judgement-task","239","300281","1679011747660","0.0-8.0-0.11-1.41","","1",""
"2587","6_2_9_14_15","6_2_14_9_15","1:2_0:2_3:2_2:1_3:3","","5","","spatial-span-recall","241","302878","1679011750257","0.0-8.0-1.11","","","3"
