"rt","recall","correct_answer","stimuli","spatial_demo_accuracy","set_size","token","trial_type","trial_index","time_elapsed","unix_timeStamp","internal_node_id","symm_demo_accuracy","symm_accuracy","spatial_accuracy"
"1005","","","","","","","symmetry-judgement-task","152","202812","1679013853000","0.0-8.0-0.5-1.16","","1",""
"2213","12_7_15_0","12_7_15_0","3:0_1:3_3:3_0:0","","4","","spatial-span-recall","154","205031","1679013855219","0.0-8.0-1.5","","","4"
"1035","","","","","","","symmetry-judgement-task","157","208483","1679013858671","0.0-8.0-0.6-1.17","","1",""
"848","","","","","","","symmetry-judgement-task","160","210502","1679013860690","0.0-8.0-0.6-1.18","","1",""
"716","","","","","","","symmetry-judgement-task","163","212399","1679013862587","0.0-8.0-0.6-1.19","","1",""
"1082","","","","","","","symmetry-judgement-task","166","214667","1679013864855","0.0-8.0-0.6-1.20","","1",""
"1045","","","","","","","symmetry-judgement-task","169","216901","1679013867089","0.0-8.0-0.6-1.21","","1",""
"2296","3_9_10_8_13","3_9_10_8_13","0:3_2:1_2:2_2:0_3:1","","5","","spatial-span-recall","171","219204","1679013869392","0.0-8.0-1.6","","","5"
"940","","","","","","","symmetry-judgement-task","174","222024","1679013872212","0.0-8.0-0.7-1.22","","1",""
"865","","","","","","","symmetry-judgement-task","177","224053","1679013874241","0.0-8.0-0.7-1.23","","1",""
"1071","","","","","","","symmetry-judgement-task","180","226313","1679013876501","0.0-8.0-0.7-1.24","","1",""
"908","","","","","","","symmetry-judgement-task","183","228416","1679013878604","0.0-8.0-0.7-1.25","","1",""
"2087","13_15_7_0","13_15_7_0","3:1_3:3_1:3_0:0","","4","","spatial-span-recall","185","230512","1679013880700","0.0-8.0-1.7","","","4"
"1874","","","","","","","symmetry-judgement-task","188","234345","1679013884533","0.0-8.0-0.8-1.26","","1",""
"967","","","","","","","symmetry-judgement-task","191","236487","1679013886675","0.0-8.0-0.8-1.27","","1",""
"1803","11_0","11_0","2:3_0:0","","2","","spatial-span-recall","193","238297","1679013888485","0.0-8.0-1.8","","","2"
"873","","","","","","","symmetry-judgement-task","196","241185","1679013891373","0.0-8.0-0.9-1.28","","1",""
"849","","","","","","","symmetry-judgement-task","199","243213","1679013893401","0.0-8.0-0.9-1.29","","1",""
"1543","","","","","","","symmetry-judgement-task","202","245825","1679013896013","0.0-8.0-0.9-1.30","","1",""
"963","","","","","","","symmetry-judgement-task","205","247850","1679013898038","0.0-8.0-0.9-1.31","","1",""
"688","","","","","","","symmetry-judgement-task","208","249717","1679013899905","0.0-8.0-0.9-1.32","","1",""
"2076","15_2_3_0_8","15_2_3_0_8","3:3_0:2_0:3_0:0_2:0","","5","","spatial-span-recall","210","251803","1679013901991","0.0-8.0-1.9","","","5"
"1003","","","","","","","symmetry-judgement-task","213","254833","1679013905021","0.0-8.0-0.10-1.33","","1",""
"944","","","","","","","symmetry-judgement-task","216","256962","1679013907150","0.0-8.0-0.10-1.34","","1",""
"845","","","","","","","symmetry-judgement-task","219","258959","1679013909147","0.0-8.0-0.10-1.35","","1",""
"1703","","","","","","","symmetry-judgement-task","222","261722","1679013911910","0.0-8.0-0.10-1.36","","1",""
"1902","9_10_15_7","9_10_15_11","2:1_2:2_3:3_2:3","","4","","spatial-span-recall","224","263632","1679013913820","0.0-8.0-1.10","","","3"
"1940","","","","","","","symmetry-judgement-task","227","267636","1679013917824","0.0-8.0-0.11-1.37","","1",""
"998","","","","","","","symmetry-judgement-task","230","269804","1679013919992","0.0-8.0-0.11-1.38","","1",""
"1063","","","","","","","symmetry-judgement-task","233","272067","1679013922255","0.0-8.0-0.11-1.39","","1",""
"1035","","","","","","","symmetry-judgement-task","236","274274","1679013924462","0.0-8.0-0.11-1.40","","1",""
"715","","","","","","","symmetry-judgement-task","239","276168","1679013926356","0.0-8.0-0.11-1.41","","1",""
"2501","9_8_12_15_5","9_8_12_15_5","2:1_2:0_3:0_3:3_1:1","","5","","spatial-span-recall","241","278682","1679013928870","0.0-8.0-1.11","","","5"
