"rt","recall","correct_answer","stimuli","spatial_demo_accuracy","set_size","token","browser","trial_type","trial_index","time_elapsed","unix_timeStamp","internal_node_id","symm_demo_accuracy","symm_fulldemo_accuracy","symm_accuracy","spatial_accuracy"
"1685","","","","","","","","symmetry-judgement-task-fulldemo","79","341654","1684686772591","0.0-6.0-0.3-1.10","","1","",""
"2292","","","","","","","","symmetry-judgement-task-fulldemo","82","345074","1684686776011","0.0-6.0-0.3-1.11","","1","",""
"1857","","","","","","","","symmetry-judgement-task-fulldemo","85","348056","1684686778993","0.0-6.0-0.3-1.12","","1","",""
"4055","","","","","","","","symmetry-judgement-task-fulldemo","88","353230","1684686784167","0.0-6.0-0.3-1.13","","1","",""
"8072","4_9_6_0","6_0_8_4_9","1:2_0:0_2:0_1:0_2:1","0","5","","","spatial-span-recall-demo","90","361308","1684686792245","0.0-6.0-1.3","","","",""
"4520","","","","","","","","symmetry-judgement-task","94","373505","1684686804442","0.0-8.0-0.0-1.0","","","1",""
"2799","","","","","","","","symmetry-judgement-task","97","377431","1684686808368","0.0-8.0-0.0-1.1","","","1",""
"1876","","","","","","","","symmetry-judgement-task","100","380433","1684686811370","0.0-8.0-0.0-1.2","","","1",""
"3368","5_9_11","5_9_11","1:1_2:1_2:3","","3","","","spatial-span-recall","102","383808","1684686814745","0.0-8.0-1.0","","","","3"
"3870","","","","","","","","symmetry-judgement-task","105","390333","1684686821270","0.0-8.0-0.1-1.3","","","1",""
"2067","","","","","","","","symmetry-judgement-task","108","393529","1684686824466","0.0-8.0-0.1-1.4","","","1",""
"3177","8_14","8_14","2:0_3:2","","2","","","spatial-span-recall","110","396712","1684686827649","0.0-8.0-1.1","","","","2"
"3113","","","","","","","","symmetry-judgement-task","113","402339","1684686833276","0.0-8.0-0.2-1.5","","","1",""
"2385","","","","","","","","symmetry-judgement-task","116","405847","1684686836784","0.0-8.0-0.2-1.6","","","1",""
"4877","9_8","9_8","2:1_2:0","","2","","","spatial-span-recall","118","410730","1684686841667","0.0-8.0-1.2","","","","2"
"2580","","","","","","","","symmetry-judgement-task","121","416367","1684686847304","0.0-8.0-0.3-1.7","","","1",""
"1930","","","","","","","","symmetry-judgement-task","124","419416","1684686850353","0.0-8.0-0.3-1.8","","","1",""
"2286","","","","","","","","symmetry-judgement-task","127","422823","1684686853760","0.0-8.0-0.3-1.9","","","1",""
"3391","4_8_15","4_11_15","1:0_2:3_3:3","","3","","","spatial-span-recall","129","426221","1684686857158","0.0-8.0-1.3","","","","2"
"2787","","","","","","","","symmetry-judgement-task","132","432173","1684686863110","0.0-8.0-0.4-1.10","","","1",""
"1773","","","","","","","","symmetry-judgement-task","135","435075","1684686866012","0.0-8.0-0.4-1.11","","","1",""
"1590","","","","","","","","symmetry-judgement-task","138","437787","1684686868724","0.0-8.0-0.4-1.12","","","1",""
"3853","0_12_14","0_12_14","0:0_3:0_3:2","","3","","","spatial-span-recall","140","441647","1684686872584","0.0-8.0-1.4","","","","3"
"2287","","","","","","","","symmetry-judgement-task","143","446370","1684686877307","0.0-8.0-0.5-1.13","","","1",""
"1692","","","","","","","","symmetry-judgement-task","146","449184","1684686880121","0.0-8.0-0.5-1.14","","","1",""
"1390","","","","","","","","symmetry-judgement-task","149","451704","1684686882641","0.0-8.0-0.5-1.15","","","1",""
"2910","","","","","","","","symmetry-judgement-task","152","455742","1684686886679","0.0-8.0-0.5-1.16","","","1",""
"5371","8_2_3_6","13_2_3_8","3:1_0:2_0:3_2:0","","4","","","spatial-span-recall","154","461119","1684686892056","0.0-8.0-1.5","","","","2"
"2988","","","","","","","","symmetry-judgement-task","157","466958","1684686897895","0.0-8.0-0.6-1.17","","","1",""
"2013","","","","","","","","symmetry-judgement-task","160","470097","1684686901034","0.0-8.0-0.6-1.18","","","1",""
"1637","","","","","","","","symmetry-judgement-task","163","472852","1684686903789","0.0-8.0-0.6-1.19","","","1",""
"1663","","","","","","","","symmetry-judgement-task","166","475643","1684686906580","0.0-8.0-0.6-1.20","","","1",""
"1363","","","","","","","","symmetry-judgement-task","169","478130","1684686909067","0.0-8.0-0.6-1.21","","","1",""
"4124","0_4_10_15","4_15_11_6_8","1:0_3:3_2:3_1:2_2:0","","5","","","spatial-span-recall","171","482260","1684686913197","0.0-8.0-1.6","","","","0"
"2287","","","","","","","","symmetry-judgement-task","174","487659","1684686918596","0.0-8.0-0.7-1.22","","","1",""
"1868","","","","","","","","symmetry-judgement-task","177","490652","1684686921589","0.0-8.0-0.7-1.23","","","1",""
"1910","","","","","","","","symmetry-judgement-task","180","493689","1684686924626","0.0-8.0-0.7-1.24","","","1",""
"2089","","","","","","","","symmetry-judgement-task","183","496906","1684686927843","0.0-8.0-0.7-1.25","","","1",""
"7316","14_13_12_4_0","12_5_13_14","3:0_1:1_3:1_3:2","","4","","","spatial-span-recall","185","504229","1684686935166","0.0-8.0-1.7","","","","0"
"1950","","","","","","","","symmetry-judgement-task","188","514254","1684686945191","0.0-8.0-0.8-1.26","","","1",""
"1773","","","","","","","","symmetry-judgement-task","191","517157","1684686948094","0.0-8.0-0.8-1.27","","","1",""
"4672","13_8","9_8","2:1_2:0","","2","","","spatial-span-recall","193","521836","1684686952773","0.0-8.0-1.8","","","","1"
"3669","","","","","","","","symmetry-judgement-task","196","529160","1684686960097","0.0-8.0-0.9-1.28","","","1",""
"2396","","","","","","","","symmetry-judgement-task","199","532682","1684686963619","0.0-8.0-0.9-1.29","","","1",""
"2357","","","","","","","","symmetry-judgement-task","202","536169","1684686967106","0.0-8.0-0.9-1.30","","","1",""
"1757","","","","","","","","symmetry-judgement-task","205","539048","1684686969985","0.0-8.0-0.9-1.31","","","1",""
"1714","","","","","","","","symmetry-judgement-task","208","541884","1684686972821","0.0-8.0-0.9-1.32","","","1",""
"7419","14_10_9_12","14_12_10_11_4","3:2_3:0_2:2_2:3_1:0","","5","","","spatial-span-recall","210","549310","1684686980247","0.0-8.0-1.9","","","","1"
"3214","","","","","","","","symmetry-judgement-task","213","555193","1684686986130","0.0-8.0-0.10-1.33","","","1",""
"2258","","","","","","","","symmetry-judgement-task","216","558580","1684686989517","0.0-8.0-0.10-1.34","","","1",""
"1707","","","","","","","","symmetry-judgement-task","219","561414","1684686992351","0.0-8.0-0.10-1.35","","","1",""
"2712","","","","","","","","symmetry-judgement-task","222","565250","1684686996187","0.0-8.0-0.10-1.36","","","1",""
"5529","7_10_14","3_11_14_10","0:3_2:3_3:2_2:2","","4","","","spatial-span-recall","224","570785","1684687001722","0.0-8.0-1.10","","","","1"
"2123","","","","","","","","symmetry-judgement-task","227","575353","1684687006290","0.0-8.0-0.11-1.37","","","1",""
"2092","","","","","","","","symmetry-judgement-task","230","578571","1684687009508","0.0-8.0-0.11-1.38","","","1",""
"1941","","","","","","","","symmetry-judgement-task","233","581641","1684687012578","0.0-8.0-0.11-1.39","","","1",""
"1589","","","","","","","","symmetry-judgement-task","236","584352","1684687015289","0.0-8.0-0.11-1.40","","","1",""
"2359","","","","","","","","symmetry-judgement-task","239","587841","1684687018778","0.0-8.0-0.11-1.41","","","1",""
"5718","6_10_9_13","3_10_6_9_14","0:3_2:2_1:2_2:1_3:2","","5","","","spatial-span-recall","241","593566","1684687024503","0.0-8.0-1.11","","","","1"
